,P1,P2,pearson_correlation,adf_test,beta,alpha,hurst,half_life,pairs1_name,pairs2_name,pairs1_industry,pairs2_industry,industry
0,002500.XSHE,601198.XSHG,0.914722653,TRUE,1.313359821,4.289927146,0.317189423,58.81238312,山西证券,东兴证券,资本市场服务,资本市场服务,TRUE
1,300024.XSHE,601727.XSHG,0.82321857,TRUE,0.390176075,-0.51795867,0.308122366,76.63470102,机器人,上海电气,通用设备制造业,通用设备制造业,TRUE
2,002475.XSHE,600703.XSHG,0.955823203,TRUE,1.335245779,-0.562604615,0.347224093,78.44045954,立讯精密,三安光电,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,TRUE
3,300124.XSHE,600690.XSHG,0.872510262,TRUE,0.66877879,-3.047916696,0.274243677,81.17295061,汇川技术,青岛海尔,电气机械和器材制造业,电气机械和器材制造业,TRUE
4,002460.XSHE,002466.XSHE,0.957509482,TRUE,0.973991027,12.75165625,0.363679134,58.39661163,赣锋锂业,天齐锂业,有色金属冶炼和压延加工业,有色金属冶炼和压延加工业,TRUE
5,002146.XSHE,600340.XSHG,0.82658922,TRUE,2.386833382,7.257501569,0.307371259,39.79730094,荣盛发展,华夏幸福,房地产业,房地产业,TRUE
6,600170.XSHG,601390.XSHG,0.922647927,TRUE,2.436471866,-0.592739559,0.317274738,88.46122444,上海建工,中国中铁,土木工程建筑业,土木工程建筑业,TRUE
7,600372.XSHG,601766.XSHG,0.809272821,TRUE,0.534454043,0.596463759,0.198702734,81.50376349,中航电子,中国中车,铁路、船舶、航空航天和其他运输设备制造业,铁路、船舶、航空航天和其他运输设备制造业,TRUE
8,600276.XSHG,600436.XSHG,0.948947181,TRUE,1.173929658,9.823695508,0.368878547,63.83570802,恒瑞医药,片仔癀,医药制造业,医药制造业,TRUE
9,000858.XSHE,002304.XSHE,0.977164138,TRUE,1.167797572,29.99755447,0.276760213,65.53740783,五粮液,洋河股份,酒、饮料和精制茶制造业,酒、饮料和精制茶制造业,TRUE
10,002153.XSHE,600570.XSHG,0.831714656,TRUE,2.339904017,-8.315158287,0.42959534,76.44290912,石基信息,恒生电子,软件和信息技术服务业,软件和信息技术服务业,TRUE
11,600704.XSHG,600739.XSHG,0.800649662,TRUE,1.394242085,7.965151868,0.429416602,68.28301459,物产中大,辽宁成大,批发业,批发业,TRUE
